10;12;J
4;14;X
-3;14;X
3;12;M
8;30;L
0;18;L
2;24;S
2;11;S
-2;19;S
2;11;J
-1;14;D
8;14;M
9;20;J
8;29;J
1;13;S
1;21;V
0;16;D
0;23;V
2;19;X
8;25;M
9;21;X
8;17;J
2;26;S
8;18;J
0;16;S
-1;8;M
9;19;S
-1;5;M
-1;21;V
-1;21;X
8;29;S
9;12;L
-2;4;J
-2;7;D
8;28;J
-1;9;S
7;21;M
7;25;M
-2;15;L
7;28;D
-1;13;L
9;18;V
7;18;L
4;14;D
0;23;X
-1;7;M
0;18;J
7;15;S
-1;10;M
4;11;M
9;18;V
-3;14;D
7;27;M
-1;14;M
3;8;D
7;24;J
3;15;J
8;17;L
-3;5;S
7;18;D
-2;13;V
7;26;V
-1;6;J
7;19;X
-3;8;V
-3;15;X
-3;20;J
-1;19;L
-1;18;J
8;30;V
9;15;S
-2;11;L
3;8;D
-3;22;D
9;20;J
-3;11;J
-2;7;J
8;20;D
8;29;V
4;14;L
1;11;M
0;5;J
-1;22;J
-1;21;S
-3;14;S
0;12;S
9;31;M
4;19;D
9;22;L
-2;17;D
-1;20;S
4;9;L
1;8;V
2;14;M
4;24;D
3;7;M
-1;22;M
2;23;X
1;12;V
8;20;V
3;20;J
-2;23;D
3;24;D
2;26;M
-1;3;M
2;13;M
7;26;L
1;10;M
8;13;D
4;25;X
1;18;S
8;24;J
1;16;L
1;9;S
1;11;M
-2;7;J
2;13;X
-1;19;L
9;15;J
4;8;L
-2;8;D
1;12;J
3;8;L
-1;9;D
8;17;V
0;12;D
2;19;D
4;19;S
9;24;L
-2;20;X
-3;14;S
4;17;V
9;12;D
-2;4;M
-1;10;L
8;27;M
-2;6;J
7;24;D
-1;15;V
4;22;M
-1;19;D
8;15;J
-3;5;S
-3;23;M
2;18;J
-3;24;X
-1;4;D
-1;19;J
3;7;L
-1;10;L
7;16;J
-1;20;V
4;19;J
3;7;J
3;21;D
1;9;X
-1;8;J
4;19;D
9;23;X
0;10;L
-3;15;V
1;23;L
4;18;V
-1;7;S
3;21;X
-3;5;L
-2;18;M
4;13;X
3;17;X
-3;5;M
9;29;S
8;27;S
-1;16;D
4;21;S
-1;9;M
-3;24;L
-1;10;S
1;19;V
-1;15;M
-1;4;J
0;22;X
