1;7;1;0;1
8;4;9;1;1
10;6;13;0;0
6;3;8;1;1
19;4;21;0;1
15;7;17;1;0
18;7;21;1;1
5;7;8;1;1
16;3;18;0;0
5;5;8;1;1
12;5;15;1;0
3;5;5;0;1
9;7;10;0;1
18;7;20;0;1
10;3;11;1;0
18;2;19;1;0
13;6;15;1;0
20;4;22;1;0
13;4;16;1;1
14;5;16;0;1
10;6;11;0;1
6;7;8;0;1
20;7;23;1;1
7;7;9;0;1
13;5;15;1;0
6;7;9;1;0
8;2;9;0;1
3;7;4;0;0
19;3;22;1;0
19;1;20;0;0
18;2;20;0;1
1;4;2;0;1
1;1;3;0;0
4;4;6;0;0
17;7;19;0;1
7;4;10;1;0
10;5;13;0;1
14;5;17;0;1
12;5;14;0;0
17;3;20;0;1
11;6;12;0;0
7;1;8;0;1
7;4;10;0;1
8;1;9;1;1
20;2;22;1;0
5;7;6;0;0
15;3;17;1;0
4;2;7;0;1
8;7;9;0;0
5;3;6;1;1
7;1;8;0;1
10;3;13;0;0
16;5;19;0;1
12;7;15;1;0
2;1;4;1;1
13;7;16;0;1
9;5;11;1;1
6;4;8;0;1
1;2;4;0;0
7;3;10;0;1
10;2;12;0;0
15;1;18;0;1
4;2;7;1;0
8;6;11;0;1
4;1;7;0;0
11;6;14;0;0
16;7;19;0;0
17;6;18;0;0
16;2;17;0;0
19;1;21;0;1
4;2;5;0;1
8;5;10;0;0
2;1;4;1;1
18;3;21;0;0
9;7;10;0;1
7;7;10;0;0
4;1;6;0;0
9;3;11;0;1
18;1;20;0;1
8;2;9;1;1
8;6;9;1;0
2;3;4;1;0
20;2;21;0;0
19;4;20;0;0
10;2;13;0;0
9;5;11;1;0
20;5;21;0;1
13;1;14;1;1
11;4;12;0;1
14;4;16;0;0
18;4;21;1;0
3;2;4;1;1
5;2;6;1;0
8;3;11;1;1
18;1;19;1;1
1;3;3;1;1
20;7;23;1;0
17;4;20;1;1
9;2;10;1;0
9;1;11;0;1
14;5;16;1;1
20;4;22;0;0
18;1;20;1;1
20;3;23;1;1
1;7;2;0;0
7;3;10;1;1
15;4;18;0;1
7;6;8;1;0
2;3;4;0;1
19;4;20;1;1
15;3;16;1;0
13;7;15;0;1
13;5;14;1;0
